commune_code,commune_name,last_name,first_name,gender,party_code,list_name,votes,elected,P11_POP,pct_female,pct_male,pct_age_0_14,pct_age_15_29,pct_age_30_44,pct_age_45_59,pct_age_60_74,pct_age_75_plus,pct_edu_vocational,pct_edu_bac,pct_edu_higher,pct_unemployed
94022,Choisy-le-Roi,DE LACOSTE,François,M,LMAJ,CHOISY-MA-VILLE,3872,,41355.0,51.82,48.18,21.03,21.05,23.21,18.72,10.0,5.99,18.04,17.96,14.68,14.55
94042,Joinville-le-Pont,AUBRY,Olivier,M,LMC,POUR JOINVILLE ENSEMBLE ET UNIS,1998,,17953.0,51.69,48.31,17.52,18.74,21.33,20.45,13.38,8.57,16.23,18.78,23.62,11.0
94042,Joinville-le-Pont,DOSNE,OLIVIER,M,LDVD,JOINVILLE AVEC VOUS,2781,,17953.0,51.69,48.31,17.52,18.74,21.33,20.45,13.38,8.57,16.23,18.78,23.62,11.0
94042,Joinville-le-Pont,WILLOT,Benoît,M,LUG,JOINVILLE EN MOUVEMENT,2078,,17953.0,51.69,48.31,17.52,18.74,21.33,20.45,13.38,8.57,16.23,18.78,23.62,11.0
94044,Limeil-Brévannes,PATRZYNSKI,Roland,M,LMAJ,VIVRE ENSEMBLE LIMEIL BREVANNES AUTREMENT,2881,,20663.0,53.32,46.68,21.61,21.33,22.43,17.84,9.6,7.19,18.88,19.48,11.49,10.76
94044,Limeil-Brévannes,REITZ,Claude,F,LDVD,"TOUS ENSEMBLE, PRENONS LE PARTI D'ETRE LIBRES",464,,20663.0,53.32,46.68,21.61,21.33,22.43,17.84,9.6,7.19,18.88,19.48,11.49,10.76
94044,Limeil-Brévannes,ROSSIGNOL,Joseph,M,LUG,LIMEIL-BRÉVANNES EN MARCHE,2932,,20663.0,53.32,46.68,21.61,21.33,22.43,17.84,9.6,7.19,18.88,19.48,11.49,10.76
94047,Mandres-les-Roses,PERRAULT,Jean-Claude,M,LMAJ,HUMANISME ET ENVIRONNEMENT - MANDRES LES ROSES DEMAIN,884,,4415.0,51.25,48.75,18.94,17.96,19.85,24.1,12.11,7.04,19.17,18.17,16.34,6.93
94047,Mandres-les-Roses,DE BARY,Jean-Brice,M,LCMD,AGIR POUR VOUS AVEC MANDRES LES ROSES,662,,4415.0,51.25,48.75,18.94,17.96,19.85,24.1,12.11,7.04,19.17,18.17,16.34,6.93
94047,Mandres-les-Roses,ZASLAVSKY,Catherine,F,LDVG,MANDRES ENSEMBLE,339,,4415.0,51.25,48.75,18.94,17.96,19.85,24.1,12.11,7.04,19.17,18.17,16.34,6.93
94052,Nogent-sur-Marne,GEIB,William,M,LSOC,PROGRES ET SOLIDARITE POUR NOGENT,2407,,31795.0,53.49,46.51,18.25,18.26,23.41,19.63,12.19,8.26,12.18,16.52,35.11,9.78
94052,Nogent-sur-Marne,MARTIN,Jacques J P,M,LMAJ,"ENSEMBLE, AGISSONS POUR NOTRE VILLE",5510,,31795.0,53.49,46.51,18.25,18.26,23.41,19.63,12.19,8.26,12.18,16.52,35.11,9.78
94052,Nogent-sur-Marne,MONTCHAMP,Marie-Anne,F,LDVD,"NOGENT, AVEC VOUS !",4001,,31795.0,53.49,46.51,18.25,18.26,23.41,19.63,12.19,8.26,12.18,16.52,35.11,9.78
94054,Orly,TERRADE,Odette,F,LCOM,L'AVENIR D'ORLY,1854,,21312.0,52.82,47.18,22.68,20.48,20.83,18.83,10.53,6.64,20.58,16.24,8.17,16.74
94054,Orly,VIENS,Gaston,M,LDVG,GAUCHE RASSEMBLEMENT OUVERTURE,2718,,21312.0,52.82,47.18,22.68,20.48,20.83,18.83,10.53,6.64,20.58,16.24,8.17,16.74
94054,Orly,PHILIPPON,François,M,LDVG,RASSEMBLEMENT DEMOCRATIQUE POUR LE CHANGEMENT DE LA MUNICIPALITE,1435,,21312.0,52.82,47.18,22.68,20.48,20.83,18.83,10.53,6.64,20.58,16.24,8.17,16.74
94065,Rungis,DHELENS,Jean,M,LDVD,RUNGIS AVEC VOUS,333,,5681.0,51.96,48.04,18.52,21.65,21.04,24.59,10.28,3.93,18.74,20.39,20.82,6.36
94065,Rungis,CHARRESSON,Raymond,M,LMAJ,VIVONS RUNGIS,1307,,5681.0,51.96,48.04,18.52,21.65,21.04,24.59,10.28,3.93,18.74,20.39,20.82,6.36
94065,Rungis,CASSIN,Danièle,F,LDVD,RUNGIS A COEUR,1038,,5681.0,51.96,48.04,18.52,21.65,21.04,24.59,10.28,3.93,18.74,20.39,20.82,6.36
94068,Saint-Maur-des-Fossés,PLAGNOL,Henri,M,LMAJ,ENSEMBLE POUR SAINT MAUR,13858,,74818.0,53.09,46.91,16.7,18.48,19.82,20.4,14.44,10.15,13.45,17.51,29.75,8.64
94068,Saint-Maur-des-Fossés,ROSAIRE,Philippe,M,LSOC,SAINT-MAUR SOLIDAIRE,5519,,74818.0,53.09,46.91,16.7,18.48,19.82,20.4,14.44,10.15,13.45,17.51,29.75,8.64
94068,Saint-Maur-des-Fossés,THONUS,Jean-Bernard,M,LDVD,DES VILLAGES DANS LA VILLE,11148,,74818.0,53.09,46.91,16.7,18.48,19.82,20.4,14.44,10.15,13.45,17.51,29.75,8.64
94071,Sucy-en-Brie,CIUNTU,Marie-Carole,F,LMAJ,POUR SUCY,4915,,25655.0,52.16,47.84,19.41,17.86,18.71,21.9,14.62,7.5,18.05,17.76,20.79,8.29
